,duration,videoid
0,05,vOFa0YHSwx4
1,02,ZkxMqUP70Ds
2,02,2dmqsY3_1uk
3,03,NADRu9MaHOo
4,03,92agCKHpMqw
5,02,WXPSGp-jLC0
6,04,dFOksqPE_Bg
7,03,elaoOCwoqPs
8,03,_zmxpXejMNs
9,03,OZScqcKFK_E
10,03,7t0EtKlQxyo
11,15,PJrXW9yeJy0
12,02,z7HxiMWVL4g
13,03,WL06z1MPtGA
14,04,dBfVwjRuwxk
15,02,SqlnGeSOUuo
16,02,nscaesfyGws
17,02,pJO-FQRgITE
18,02,ik19t5dYcdI
19,02,u53Ktg1iSFU
20,04,iICRglgHjaE
21,02,JK4hZ182qb8
22,02,c44bhvx6vuw
23,03,hgExTrqH0n8
24,02,QtAy_2OuqDE
25,02,jCSE75_zHlU
26,02,KZ0WWL1atmE
27,01,_EOeNw3yHjg
28,04,Wq7zR-mN4GQ
29,02,BJvhdyGjZQ4
30,04,BK8pPVHXOJY
31,02,wzkKorkUKt8
32,02,tqX7POfzqqg
33,01,rAPNDjQ3Q28
34,02,HlpmKxAkYNU
35,02,pi-DQE-Pfa4
36,02,xhAcq9yB1fQ
37,02,VaKtjIVSkT8
38,02,0HDsz3C9IHg
39,03,90twWY4PWhQ
40,02,bXBi7kVn6to
41,01,_VrzqHqwp5E
42,02,R7AXBOT8KzU
43,01,OA47qryTFLM
44,02,vcldzojgAR0
45,03,7vnezuYY-W0
46,03,pwt7wAyz2w8
47,03,FyUrrAqso-M
48,01,oLy-OE9otWM
49,03,pS2hpSY-uqo
50,02,dKOF-i41kXs
51,02,78aOh8T3g-s
52,02,_RWssDDHjQA
53,03,0KJns4mzBng
54,02,VhJSHUB415g
55,02,oomrVruouZs
56,04,UmaJNGa2pSw
57,03,DuTPOHSeWFk
58,02,7SUVd0LG6qw
59,02,H9vztQ7Z9sQ
60,02,39prUD0DiUg
61,02,k-kHMABQgFo
62,00,HgBhTnNnKbo
63,02,KcgBhpZSu8Q
64,01,0Pj8QKTvRTQ
65,02,i6n2tRd3Oso
66,03,xilrvBZoSOU
67,02,JFpdN41o8O4
68,02,BCCgySH0ROU
69,02,hjCrOPFaQL4
70,02,6EsphzAFQpg
71,02,pmQo7GEMBdU
72,01,tC3IKgnd7Eg
73,01,RVRwGf2_apU
74,02,9wCPUUIjjdU
75,03,gJuGKJaSyVU
76,01,fO4etpYGn7E
77,03,n-Zw8DmhOoI
78,03,Yi-G4ZCKGKg
79,02,67_YCvFKOwg
80,02,LQ966dXZFOM
81,03,wNlGtxJH4LY
82,02,WSqcdQWxgOY
83,02,ZVq_1ULQVVo
84,02,4TIR-Xgj3Uc
85,01,zyT9I4lZb0Q
86,02,gNV8ZxnpbI4
87,02,lGM-zbWI5eo
88,01,MTqNaoEM9wE
89,03,Hfg0TwexdsI
90,02,rSro8Fu06BA
91,02,P2us9iBZ-tQ
92,02,yp2EpKM93io
93,02,GFt1Ss6rWJY
94,02,CSr4B1RaSZI
95,02,6EvuTtKw7u0
96,02,jnLqcm-GpmI
97,02,XaUlHXdEAk4
98,02,GVx1QS1jg7Y
99,02,D8zFhZVQUk4
100,02,5MvBLOoS1oQ
101,02,OJQDZ1lGnQ0
102,02,1VaTA_RvGrY
103,02,pGBXcCCAAoo
104,02,7_x7kG_3mgE
105,01,Px_3j4E72j8
106,03,57IoQcuKPxc
107,03,AI-X96a8p-U
108,03,4nVmm3zobCM
109,03,qETE8hzhN84
110,02,ThnL8JmPUQg
111,03,CXRcyHTfcbY
112,02,J4t-G1MpttM
113,02,Qvb_1HQOLdI
114,04,42ifSNrAEmk
115,02,Hf9DF4XeQrs
116,01,HEbD9laumgY
117,02,M9GmBomQlt8
118,02,waJxc0x0pjU
119,03,N7TzPEYci_w
120,02,mMNUuNdOFN0
121,03,SKrHlRVH1BI
122,01,fW_3_OdkXIo
123,01,1niWAS7eHJA
124,05,tin4BeSKMHc
125,03,3UrXj43ORPg
126,01,YWSG9Mo4GQQ
127,01,LCqr4ZU0t3M
128,02,hwiOE8B06cs
129,02,wX5hZRgaFtA
130,01,HCpdTbx7jrY
131,03,paBJ9Tj2SN0
132,01,vl0qYbws90g
133,02,q3ARLSPlrNE
134,09,lEwTSdROmcU
135,04,ll2gdBPnw4k
136,09,KrCdXR2Wajk
137,09,KTX5PruTHkE
138,08,BvI1PNEUy_4
139,09,8st8uiVBRsA
140,03,oYa8a7gsLWI
141,04,ix3pNizPZkc
142,07,kk6sLOOS2XY
143,03,81K32I8Bo1E
144,09,M9akcaXFnE0
145,10,XmkqtKMWAPg
146,06,b90-6lQit2Y
147,04,tfdSsS9Mp9Q
148,05,0ddgbYp3RnI
149,04,YtaKETy23C8
150,09,3ogt0DPwZaI
151,07,AbtRuRdXZxk
152,02,MK1SKrx9ESI
153,08,ji_PI9Jx7rY
154,04,OMT4lrh6BQ0
155,08,hgVdzTWsh-4
156,04,3EuC1GVsbQA
157,05,u8FYFLIP3sE
158,10,bPTVr_j06Yg
159,06,z8EOfR_gGKc
160,07,43JPvKViNro
161,04,0tOslmz5f5c
162,08,33kVlgewFaE
163,04,4GZr_UdnHXY
164,04,F4g5yobRWqQ
165,08,d7zM3qWXOto
166,10,cSZT_UXLdlw
167,04,RlMmMDKrtos
168,09,wspZAB89ohU
169,07,N4pj7RByIeA
170,07,Caodi7798ug
171,06,cgY6QaigfEI
172,04,mh9qllmoJ7w
173,08,aVi58yWoraw
174,08,QYNFrAZKzlE
175,09,VgpGF7TrdXo
176,09,3U2iDPujBOo
177,08,2ly0UOve36A
178,06,27MTP-6Kffc
179,07,_1R64_7pDK4
180,07,f8ssfD54_g0
181,05,9ooypclkJzk
182,04,zJr-gIEdaSM
183,07,QgXdWqLmejY
184,10,618gGX5GSmA
185,08,y5o0OudIPQY
186,06,vtJ8RUCHccM
187,08,E0lwRLKbC9I
188,07,Q7xW3EEoS_8
189,03,HctyT52QDcA
190,07,QKYPGLrIgVA
191,04,fv1HvzirFdg
192,09,gtGpcAGaJ2k
193,04,ol5TFnpp98E
194,07,uFsMYRsWglA
195,06,CQ-Wvtg4Qps
196,09,9Na1PWPNby4
197,07,FGUrobqSHm0
198,06,9gwmWNbflK8
199,06,FyAh-iX8Lwg
200,04,2NS8rr6sjSg
201,10,3qG149YyCCg
202,03,hHQnLsmX5QE
203,08,UQR_dHqrr5M
204,05,p2RlCutCFTU
205,04,_cXVIeKi3Qw
206,08,ERMQqqzzrzc
207,05,kU8mRKUFWbQ
208,09,2bkoeR6uwlE
209,08,DJ8xZ64YsRs
210,10,5N_radb-vK0
211,07,F_fvsCyxiyA
212,01,VRLBGFpwy3A
213,09,MEiKYXaUfXU
214,08,ufwfMo4BRak
215,06,vzjx1JPvifc
216,04,dcjBKq1WeQQ
217,08,yo3Cl1kCT6I
218,04,CAMOTSj6xT4
219,15,EOWUUZBqMN4
220,08,IBDsJd4VzCc
221,08,6dHqn6rv6vo
222,04,i4aTEdrEAd8
223,07,sz1jAZP4boo
224,05,t26C9OJjGT4
225,08,u13fQ5WYVts
226,07,Y4MU4f9RuHQ
227,09,AA68ioB-ZcA
228,03,F8nU7FPOGK8
229,06,U3E7YsFBpQQ
230,10,oAiAsGfWSr0
231,06,BOg_eu_dBmc
232,08,VuVLaNLB0pM
233,05,Pn9KoUdfhPU
