,tagcount,tagsentiment,videoId
0,0,0,vOFa0YHSwx4
1,0,0,ZkxMqUP70Ds
2,0,0,2dmqsY3_1uk
3,0,0,NADRu9MaHOo
4,0,0,92agCKHpMqw
5,0,0,WXPSGp-jLC0
6,0,0,dFOksqPE_Bg
7,0,0,elaoOCwoqPs
8,0,0,_zmxpXejMNs
9,0,0,OZScqcKFK_E
10,0,0,7t0EtKlQxyo
11,0,0,PJrXW9yeJy0
12,0,0,z7HxiMWVL4g
13,0,0,WL06z1MPtGA
14,0,0,dBfVwjRuwxk
15,0,0,SqlnGeSOUuo
16,0,0,nscaesfyGws
17,0,0,pJO-FQRgITE
18,0,0,ik19t5dYcdI
19,0,0,u53Ktg1iSFU
20,0,0,iICRglgHjaE
21,0,0,JK4hZ182qb8
22,0,0,c44bhvx6vuw
23,0,0,hgExTrqH0n8
24,0,0,QtAy_2OuqDE
25,0,0,jCSE75_zHlU
26,0,0,KZ0WWL1atmE
27,0,0,_EOeNw3yHjg
28,0,0,Wq7zR-mN4GQ
29,0,0,BJvhdyGjZQ4
30,0,0,BK8pPVHXOJY
31,0,0,wzkKorkUKt8
32,0,0,tqX7POfzqqg
33,0,0,rAPNDjQ3Q28
34,0,0,HlpmKxAkYNU
35,0,0,pi-DQE-Pfa4
36,0,0,xhAcq9yB1fQ
37,0,0,VaKtjIVSkT8
38,0,0,0HDsz3C9IHg
39,0,0,90twWY4PWhQ
40,0,0,bXBi7kVn6to
41,0,0,_VrzqHqwp5E
42,0,0,R7AXBOT8KzU
43,0,0,OA47qryTFLM
44,0,0,vcldzojgAR0
45,0,0,7vnezuYY-W0
46,0,2,pwt7wAyz2w8
47,0,0,FyUrrAqso-M
48,0,2,oLy-OE9otWM
49,0,2,pS2hpSY-uqo
50,0,1,dKOF-i41kXs
51,0,0,78aOh8T3g-s
52,0,2,_RWssDDHjQA
53,0,2,0KJns4mzBng
54,0,2,VhJSHUB415g
55,0,2,oomrVruouZs
56,0,2,UmaJNGa2pSw
57,0,1,DuTPOHSeWFk
58,0,2,7SUVd0LG6qw
59,0,2,H9vztQ7Z9sQ
60,0,0,39prUD0DiUg
61,0,2,k-kHMABQgFo
62,0,0,HgBhTnNnKbo
63,0,2,KcgBhpZSu8Q
64,0,0,0Pj8QKTvRTQ
65,0,2,i6n2tRd3Oso
66,0,2,xilrvBZoSOU
67,0,2,JFpdN41o8O4
68,0,2,BCCgySH0ROU
69,0,2,hjCrOPFaQL4
70,0,2,6EsphzAFQpg
71,0,2,pmQo7GEMBdU
72,0,2,tC3IKgnd7Eg
73,0,2,RVRwGf2_apU
74,0,2,9wCPUUIjjdU
75,0,2,gJuGKJaSyVU
76,0,2,fO4etpYGn7E
77,0,2,n-Zw8DmhOoI
78,0,0,Yi-G4ZCKGKg
79,0,2,67_YCvFKOwg
80,0,2,LQ966dXZFOM
81,0,2,wNlGtxJH4LY
82,0,2,WSqcdQWxgOY
83,0,2,ZVq_1ULQVVo
84,0,0,4TIR-Xgj3Uc
85,0,2,zyT9I4lZb0Q
86,1,0,gNV8ZxnpbI4
87,0,0,lGM-zbWI5eo
88,0,0,MTqNaoEM9wE
89,0,0,Hfg0TwexdsI
90,0,0,rSro8Fu06BA
91,0,0,P2us9iBZ-tQ
92,0,0,yp2EpKM93io
93,0,0,GFt1Ss6rWJY
94,0,0,CSr4B1RaSZI
95,0,0,6EvuTtKw7u0
96,0,0,jnLqcm-GpmI
97,0,0,XaUlHXdEAk4
98,0,0,GVx1QS1jg7Y
99,0,0,D8zFhZVQUk4
100,0,0,5MvBLOoS1oQ
101,0,0,OJQDZ1lGnQ0
102,0,0,1VaTA_RvGrY
103,0,0,pGBXcCCAAoo
104,0,0,7_x7kG_3mgE
105,0,0,Px_3j4E72j8
106,0,0,57IoQcuKPxc
107,0,0,AI-X96a8p-U
108,0,0,4nVmm3zobCM
109,0,0,qETE8hzhN84
110,0,0,ThnL8JmPUQg
111,0,0,CXRcyHTfcbY
112,0,0,J4t-G1MpttM
113,0,0,Qvb_1HQOLdI
114,0,0,42ifSNrAEmk
115,0,0,Hf9DF4XeQrs
116,0,0,HEbD9laumgY
117,0,0,M9GmBomQlt8
118,0,0,waJxc0x0pjU
119,0,0,N7TzPEYci_w
120,0,0,mMNUuNdOFN0
121,0,0,SKrHlRVH1BI
122,0,0,fW_3_OdkXIo
123,0,0,1niWAS7eHJA
124,0,0,tin4BeSKMHc
125,0,0,3UrXj43ORPg
126,0,0,YWSG9Mo4GQQ
127,0,0,LCqr4ZU0t3M
128,0,0,hwiOE8B06cs
129,0,0,wX5hZRgaFtA
130,0,0,HCpdTbx7jrY
131,0,0,paBJ9Tj2SN0
132,0,0,vl0qYbws90g
133,0,0,q3ARLSPlrNE
134,0,0,lEwTSdROmcU
135,0,0,ll2gdBPnw4k
136,0,0,KrCdXR2Wajk
137,0,0,KTX5PruTHkE
138,0,0,BvI1PNEUy_4
139,0,0,8st8uiVBRsA
140,0,0,oYa8a7gsLWI
141,0,0,ix3pNizPZkc
142,0,0,kk6sLOOS2XY
143,0,0,81K32I8Bo1E
144,0,0,M9akcaXFnE0
145,0,0,XmkqtKMWAPg
146,0,0,b90-6lQit2Y
147,1,0,tfdSsS9Mp9Q
148,0,0,0ddgbYp3RnI
149,0,0,YtaKETy23C8
150,0,0,3ogt0DPwZaI
151,1,0,AbtRuRdXZxk
152,0,0,MK1SKrx9ESI
153,0,0,ji_PI9Jx7rY
154,0,0,OMT4lrh6BQ0
155,0,0,hgVdzTWsh-4
156,0,0,3EuC1GVsbQA
157,0,0,u8FYFLIP3sE
158,0,0,bPTVr_j06Yg
159,0,0,z8EOfR_gGKc
160,0,0,43JPvKViNro
161,0,0,0tOslmz5f5c
162,0,0,33kVlgewFaE
163,0,0,4GZr_UdnHXY
164,0,0,F4g5yobRWqQ
165,0,0,d7zM3qWXOto
166,0,0,cSZT_UXLdlw
167,1,0,RlMmMDKrtos
168,0,0,wspZAB89ohU
169,0,0,N4pj7RByIeA
170,0,0,Caodi7798ug
171,0,0,cgY6QaigfEI
172,0,0,mh9qllmoJ7w
173,0,0,aVi58yWoraw
174,0,0,QYNFrAZKzlE
175,0,0,VgpGF7TrdXo
176,0,0,3U2iDPujBOo
177,0,0,2ly0UOve36A
178,0,0,27MTP-6Kffc
179,0,0,_1R64_7pDK4
180,0,0,f8ssfD54_g0
181,0,0,9ooypclkJzk
182,1,0,zJr-gIEdaSM
183,0,0,QgXdWqLmejY
184,0,0,618gGX5GSmA
185,0,0,y5o0OudIPQY
186,0,0,vtJ8RUCHccM
187,0,0,E0lwRLKbC9I
188,0,0,Q7xW3EEoS_8
189,1,0,HctyT52QDcA
190,0,0,QKYPGLrIgVA
191,0,0,fv1HvzirFdg
192,0,0,gtGpcAGaJ2k
193,0,0,ol5TFnpp98E
194,0,0,uFsMYRsWglA
195,0,0,CQ-Wvtg4Qps
196,0,0,9Na1PWPNby4
197,0,0,FGUrobqSHm0
198,1,0,9gwmWNbflK8
199,0,0,FyAh-iX8Lwg
200,0,0,2NS8rr6sjSg
201,0,0,3qG149YyCCg
202,0,0,hHQnLsmX5QE
203,0,0,UQR_dHqrr5M
204,0,0,p2RlCutCFTU
205,1,0,_cXVIeKi3Qw
206,0,0,ERMQqqzzrzc
207,0,0,kU8mRKUFWbQ
208,0,0,2bkoeR6uwlE
209,0,0,DJ8xZ64YsRs
210,0,0,5N_radb-vK0
211,0,0,F_fvsCyxiyA
212,0,0,VRLBGFpwy3A
213,0,0,MEiKYXaUfXU
214,0,0,ufwfMo4BRak
215,0,0,vzjx1JPvifc
216,1,0,dcjBKq1WeQQ
217,0,0,yo3Cl1kCT6I
218,0,0,CAMOTSj6xT4
219,0,0,EOWUUZBqMN4
220,0,0,IBDsJd4VzCc
221,0,0,6dHqn6rv6vo
222,1,0,i4aTEdrEAd8
223,0,0,sz1jAZP4boo
224,0,0,t26C9OJjGT4
225,0,0,u13fQ5WYVts
226,0,0,Y4MU4f9RuHQ
227,0,0,AA68ioB-ZcA
228,0,0,F8nU7FPOGK8
229,0,0,U3E7YsFBpQQ
230,0,0,oAiAsGfWSr0
231,1,0,BOg_eu_dBmc
232,0,0,VuVLaNLB0pM
233,0,0,Pn9KoUdfhPU
234,0,0,0ZQnSg-v7X4
235,0,0,rUPwLJQ8eY8
236,0,0,g8CRh6xgJcg
237,0,0,vCYMIzlh_Kw
238,0,0,W4QRC1Z0hfw
239,1,0,jayLIl1_jno
240,0,0,zyKktxNjrJE
241,0,0,xk5K6lYOjss
242,0,0,O6P_G9fjuLo
243,0,0,JOgioiIWiWY
244,0,0,n0tduyNY-JI
245,0,0,CHD79zl-R-E
246,0,0,zZxfx-fB3XA
247,0,0,ldE6nJ53LQQ
248,0,0,nad45ZRNmbk
249,0,0,-z46aR_oUPQ
250,0,0,2zqZrx4BnsY
251,0,0,r6UZFkrv9-E
252,0,0,wtiTDiWc1gI
253,0,0,ueWNriAk3dQ
254,0,0,KB82Oq9n6nM
255,0,0,Cah626pzSbs
256,0,0,eUxAr58cgjo
257,0,0,XGHiYwBioIM
258,0,0,2iixEec_Q1E
259,0,0,VVTxcOwbjm4
260,0,0,S0f0wd13baw
261,0,0,lGq_tHy5u-8
262,1,0,XKhTKAdcqpM
263,1,0,uljjs3KTr9s
264,0,0,6vw6ED7zIVE
265,0,0,em6daFZmEQw
266,1,0,5K3dGEK0YVk
267,0,0,brqWwlUuJ8M
268,0,0,4H1eo1p00iA
269,0,0,VnmZjoGUaV8
270,0,0,2LxPHYS60MA
271,2,0,oBmr06SqFXk
272,0,0,afuy-tws4Ew
273,0,0,IahfsNxy1Jo
274,0,0,iY1xB6furf0
275,0,0,-4V-yE9JkZA
276,0,0,RkTuXaTJAZg
277,1,0,cqxLxvw9VeI
278,0,0,lSM7h3pgOgo
279,0,0,9SFle1QZS0o
280,0,0,QpPnDhMEV-o
281,0,0,s9jcem4lE8A
282,0,0,mwfpVjxqbok
283,0,0,D0ZTKaMcqCM
284,0,0,ZznikP-DYoE
285,0,0,AUj4KJ-axyo
286,1,0,8zhR7IzccWQ
287,0,0,8ucCxtgN6sc
288,0,0,c-D_A52f9Ac
289,0,0,8nY9UflMPZM
290,0,0,w6qWqoGGbtU
291,0,0,C_s6fLGWNJo
292,0,0,kPrAYF0R69c
293,0,0,FJZ17SF2T0I
294,0,0,aEa_ht6CKtI
295,0,0,zlySatupvR8
296,0,0,2PHccYowfo4
297,0,0,Q4tXuqxwPgc
298,0,0,0RLU7hfgP8w
299,0,0,UMyKPp688rE
300,1,0,TZuqHg5trJk
301,1,0,A_OrTNOfeNk
302,0,0,dcS629ZNs84
303,0,0,6snIteM7_GU
304,0,0,m7BHCMc50aE
305,0,0,wPOD6i5QiwI
306,1,0,Kx3H9DI-4WI
307,0,0,bkNKtoZ2Gto
308,0,0,kxElxJ3zfwo
309,0,0,xyUHAt-DBV4
310,0,0,pBaQdNWvPBY
311,0,0,NZOXairW_qo
312,1,0,2s5vyBZOPsY
313,0,0,iBEc8OUyzkU
314,0,0,qhjLjaCt1DM
315,0,0,QfinWS-Olbw
316,0,0,_oy3PK93Z3k
317,0,0,Il9A2zn2CBk
318,0,0,x0k72kasAMY
319,1,0,eCVu0x85Xqk
320,0,0,NPjgBcJScYM
321,1,0,wJQSR3DIcGk
322,0,0,X5rZg-VeNxc
323,0,0,zjIDQ9dIxow
324,0,0,TRqAAMpvErc
325,0,0,6I3UJcqYOFA
326,0,0,GwoRFRbQ9G8
327,0,0,WAXYOHvxJqw
328,1,0,LoO_q02QJvM
329,0,0,A2LGEt5gE-o
330,0,0,a_hGqF_GNV4
331,0,0,X8-W0H-Csnk
332,0,0,e63bn8VtlJc
333,0,0,sZj993GomBU
334,1,0,EEjCpsUWVwI
335,0,0,MFo9jYYzUJM
336,0,0,4EC3vlqjwrQ
337,0,0,a5KWkXr8gJA
338,0,0,IUXSxy818M0
339,0,0,A1nEFUcJrVc
340,0,0,Zljmw3ubGO4
341,0,0,IQDtnQHMH74
342,0,0,GnjCl-3pALc
343,0,0,cCW--H_OTPU
344,0,0,DWUB5oEwC_w
345,0,0,yyca0sHKkJ8
346,0,0,0_nRqhTcea8
347,0,0,6vzG7jHpO2g
348,0,0,L2skkR9V2Gk
349,0,0,610wPhqm5HI
350,0,0,M84mjZrQdeQ
351,1,0,vaS9bI50uZs
352,0,0,l4TRt0wy3TQ
353,0,0,Hgkx9JAON-I
354,0,0,D2N8vOiC380
355,0,0,9l02Nea46og
356,1,0,nNlc37T_Xas
357,1,0,AlssfTp5fSA
358,0,0,ix8bmslnpHg
359,1,0,RQRURItIwGo
360,0,0,kjHt3steh2U
361,0,0,efVu20Yrav8
362,0,0,YpBfbhtasgs
363,0,0,RKW6FqYVu3U
364,0,0,PnUHx8WBKvo
365,0,0,oSd4FyYf7c8
366,0,0,SWO5LLyKQRs
367,0,0,H4BCX8qov0E
368,1,0,_6zb3bvwBRM
369,1,0,BBV33YaV3oA
370,0,0,SGY81xraAds
371,0,0,CXWd-pz-DII
372,0,0,aI-eU7OdunI
373,0,0,XuSYtAsMxfY
374,0,0,v55INWkCCiM
375,1,0,tYmflP5-4vA
376,2,0,-2_1GmB7QEs
377,0,0,TDT3GnkF_U4
378,0,0,D4nVEypiod0
379,0,0,P7LD9cOgkeU
380,2,0,mOP1spjK6WE
381,0,0,S6-27zN_aCQ
382,0,0,5koHltuEI1U
383,0,0,6FcohtSnA9k
384,0,0,M4blAdS6r3Q
385,0,0,cxrjWr_G12Q
386,0,0,sYg5Hi5-Y3I
387,0,2,JxpIhxI8kR0
388,0,0,FANiL2dPCCg
389,0,0,snb4WU_DM_k
390,0,0,I4UHiOoDvOk
391,0,0,Vo-TiGRDgbY
392,2,0,4YBRrPw_uH4
393,0,0,oIBmV-X0t9Y
394,0,0,_BOTchCSecE
395,0,0,SbmHvWJk7NE
396,0,0,jbDk28f_YJs
397,0,0,7bY0j5smPzs
398,0,0,kA6TbzzVPfk
399,0,0,2pzLjS6t0bw
400,0,0,0lvlbRQq1UM
401,0,0,G2eMVGxElxE
402,0,0,Bsd3hTLCQ_o
403,0,0,DOKOFXKQMMs
404,0,0,JG9c3uF8NbY
405,0,0,QKFEDV3eVFw
406,0,0,ijo43mEHGxM
407,1,0,AQoTsV277L4
408,0,0,X7aJ3xaDMuM
409,0,0,21uZPSMF084
410,0,0,xH4gMKO0raA
411,1,0,0ZL93eeZSUU
412,0,0,39ccoIfyQUY
413,0,0,8t13mx9PjAI
414,0,0,Jwwg1Yt18vE
415,0,0,YySflxQ200A
416,0,0,mO8TK-QaIf8
417,0,0,fFkOeFGxmf4
418,0,0,OZCRbmy7-CE
419,0,0,BwzbZLDz2-Q
420,0,0,9rrrIqXii0w
421,0,0,09QurbBJrjM
422,0,0,dkwqfjEanqM
423,0,0,6ZeiLwHKlds
424,1,0,2Mg_DFw5VZo
425,0,0,W5mUfmejQDE
426,0,0,KMyYuDfiRTs
427,0,0,0hyNHHDTlng
428,0,0,f8KDTnaQ5Jk
429,0,0,pSY4OQUi7YA
430,0,0,iYCiTx7TwEI
431,0,0,wJY7MN13W1I
432,0,0,lj6zhYSDeF8
433,0,0,7TvU3EqSBXo
434,0,0,_OG1hVERWgA
435,0,0,q0sxfn4NgKI
436,0,0,7T2M_ylMdXU
437,0,0,OH6j7kP33CE
438,1,0,y0jP35uxqCw
439,0,0,JzmjItxxbsc
440,0,0,vJsjRexJTTM
441,0,0,J2t-5IYW9KM
442,0,0,dJoV2p4Cr-k
443,0,0,KV4Fgu46n2k
444,0,0,24OIg33Z53c
445,0,0,pSM08bzrxTg
446,0,0,4jLgKd0V77Q
447,1,0,22lCQ9XlGyM
448,0,0,W-bvK4zqMaE
449,0,0,spEh-BIaQnY
450,0,0,ShL2_j8-q74
451,1,0,2ARNzmTvS-k
452,0,0,uX0ZvNx6Tx0
453,0,0,oU_EwVzHrZ0
454,0,0,4-wv1QiI008
455,0,0,UWuPxHuMezY
456,0,0,PsfFaIk0iQo
457,0,0,bAdM9xf7cbk
458,0,0,U6gtYiYzuh4
459,0,0,YtgL1oO2AmY
460,0,0,maWrd9d4Gn4
461,0,0,Cp5JZni72Gg
462,0,0,QS9GkWvylU4
463,1,0,ATQrx-eTmPM
464,0,0,SG5WcKr4_m0
465,0,0,BspA-FF7wAo
466,1,0,HVcoycOLep0
467,0,0,dejRawLy2Dc
468,0,0,vacmS8W37YU
469,0,0,SjenWNqUpbg
470,0,0,U7f1p9XgHXQ
471,0,0,UKPG7izEjc8
472,0,0,6eSrztmvLTY
473,0,0,9XCUeg1yEQo
474,0,0,d91bzGiO3_8
475,0,0,kesMOzzNBiQ
476,0,0,ytlqn8Da7bY
477,0,0,nfOcTFooaGs
478,1,0,bD3LDE-d5Kc
479,0,0,kfBQ8s1kAyQ
480,0,0,dkyx6kx4des
481,0,0,ChMJmnDZtUg
482,0,0,rJU35GzN-Es
483,0,0,Y9t3Fgu3jHs
484,1,0,7P4OUr0fx6o
485,0,0,Q0-9eBJfhls
486,0,0,rZKYiDjVcLQ
487,0,0,MkaEtV8VQ9E
488,0,0,jguiw5EfAnE
489,0,0,Ar20hv0rpBM
490,0,0,1Drs9MgqlxU
491,0,0,w3MEJyQLNJ8
492,0,0,4SrlpNpYBTk
493,0,0,P6xwqkQlJ0M
494,1,0,T0mi5cYtxwk
495,1,0,_mESCbN5gmc
496,1,0,CAfflpGmOuk
497,0,0,fulWj9-o3rk
498,0,0,PboteelZnCE
499,0,0,hnQqIE3Am70
500,0,0,pTU6TIWcrNs
501,0,0,gYciKG3b5Ek
502,0,0,ptpqeFZzrJo
503,0,0,jxcij0mssc8
504,0,0,x_X98A5XJ24
505,0,0,k2wGCxqm8xM
506,0,0,O13imwAe0zg
507,0,0,h1yR4TzbnDQ
508,0,0,h8p3i4O_7G4
509,1,0,L79tn6KG7oc
510,0,0,iZ5L87SVgS0
511,0,0,j-KWgP_teoc
512,0,0,UkZ9YExYZ0M
513,0,0,7SHaCaI9FWg
514,0,0,TYPObx3i5oA
515,0,0,32_0U5m6Hpo
516,0,0,KOiesRpS0Ds
517,0,0,BZfub2HZ04o
518,0,0,VB_jBAsWR6g
519,0,0,tqg6_mMQOwM
520,0,0,iYVEkewuLy0
521,0,0,QK94ob90Xnw
522,0,0,RQ5cyeCn3nc
523,0,0,JDz30ChxGYY
524,0,0,E6Peqrt_4XQ
