,Unnamed: 0,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration,predicted_value
14113,10702,1,0,8PIHMxnTILY,0,0,24,5578,78875,1611,1499115,11,2943411.910128977
6635,2257,0,0,RCLVNbSGH-w,0,0,20,11,110968,2149,3473219,5,3450528.3831293695
19974,6608,0,0,DusX9jp0IfU,0,0,20,1128,6481,112,615164,5,3450528.3831293695
3053,1756,0,0,vgEOqq7aGgE,0,0,20,14627,131182,1080,3058172,32,1142597.7914455892
11428,5376,1,0,rPQoq7ThGAU,0,0,10,6803,25136,211,966174,4,3777041.779151015
7907,5677,0,0,5PqLA_SfSOM,0,0,23,190,964,29,126913,3,3571069.599006936
6886,21525,1,0,d4PD75hJmfE,0,0,20,1036,11372,113,382329,19,2326802.764675672
8033,1243,0,0,W7ismSZKfaY,0,0,23,9859,120774,1990,1667488,7,3229153.955794524
8162,11840,1,0,Z0uHghuYeNI,1,0,24,8526,99547,4008,6672905,39,860475.0435762787
3473,15953,0,0,tkQJHyqQJ4U,0,0,22,4632,25597,2350,6334150,17,2391170.3830063744
5866,16650,0,0,FGrydtO39to,0,0,22,1625,1644,115,426832,7,3245959.4910374037
20933,21831,0,0,eLtXCz-w4MU,0,0,20,1282,10025,167,574603,17,2424781.453492134
3368,16260,0,0,gDGZT12CeyM,0,0,22,2029,2711,123,367317,14,2647607.115415683
19500,7866,1,0,O1c0exqJ0eQ,0,0,26,4931,30418,496,1349853,14,2653364.107233908
15827,21982,1,0,PhXxFTl71hY,0,0,20,358,1852,44,127416,33,1130098.0134322308
6146,11044,2,0,HEOFksPnP_w,2,0,24,1616,30797,791,650273,16,3209941.760771577
11640,2520,1,0,KYYncckwVD0,0,0,20,11,148979,1905,5016553,5,3523507.515919114
11503,10779,1,0,aIxGeb34n2g,0,0,24,4465,76303,1255,2009001,30,1319312.6048700204
19377,21999,1,0,fGhp_dvtjQY,0,0,20,767,11429,174,684651,9,3181591.872706702
3500,14254,1,0,_2j1KxcCIW0,0,0,28,889,4482,52,118127,1,3730978.8771884874
4996,19962,6,0,n9tNvXTS0M4,0,0,20,1042,8465,92,292329,24,2264303.874608881
6441,15394,1,0,zsiekreHbcE,0,0,22,4005,18664,214,685191,17,2464149.5157961184
5213,9193,1,0,zPHPNgTBYB0,0,0,24,981,17632,357,359285,8,3199848.642538286
21946,13015,1,0,aVn4_h3d3KE,0,0,20,6066,21021,530,893644,42,360787.8162043039
8031,13833,0,0,YuwlEz49LTI,0,0,28,3196,76553,679,1081209,2,3572520.83359564
13188,15314,1,0,Vy8WtTOUS9I,0,0,22,3603,16592,181,546566,14,2720586.2482054275
17616,20528,3,0,t17Ntn9BzOY,0,2,20,1407,9763,102,378141,32,244031.11515817838
18328,13196,1,0,AXr1kDXdn_4,0,0,20,2285,9984,211,685926,33,1130098.0134322308
21950,7129,1,0,Rkv1n-PjY10,0,0,26,4913,18941,1514,3776310,7,3251716.482855629
14078,20310,3,0,ljMQM-HL6-g,0,0,20,835,11813,121,528888,12,3071113.4058768824
17908,783,1,0,xiKiAlv9wWw,1,0,24,34009,136690,4620,14004863,8,3510321.278472471
7848,2987,1,0,wkDjZ7WtKQs,0,0,20,9878,166202,967,3325800,11,3010634.051100496
13678,17048,0,0,IdMi3piik2Y,0,0,22,202,981,210,672418,4,3502396.223446713
19673,936,0,0,EnaHSAo9qW4,0,0,24,101,1769,46,198363,2,3639742.974567159
13005,11378,2,0,MdSu55QGrmY,0,0,24,3074,51284,1288,813992,9,3187348.8645249275
21870,23433,0,0,SH_pLFcyBog,0,0,43,213,1328,28,96935,12,2465648.696921413
13254,5231,0,0,Cg786H_7KxE,0,0,26,4239,26051,1944,4627700,1,3691610.8148845024
6289,10735,1,0,lRiBHMVY7yo,0,0,24,7192,76838,1122,1446326,26,1661228.248082432
21315,10263,0,0,s5ySnbfWLYA,0,0,23,11817,142932,2858,16754631,2,3656548.509810039
5832,12711,0,0,vu7-MoBaA9k,1,0,20,27650,71384,1670,2780266,38,940196.9625611566
18636,14981,0,0,i_aA68pU6yw,0,2,24,32,664,43,287323,0,2693196.721516721
21745,1537,0,0,nDZh_vumXLA,0,0,22,2386,9435,1339,2989096,3,3587875.1342498157
6291,10493,1,0,lueh1IPpaAY,0,0,20,1959,40392,729,749489,16,2583239.497084981
1406,7092,0,0,wKop_8mlQ2s,0,0,26,7821,34126,1429,4322825,5,3349695.1716720904
21285,13471,2,0,VnYmprAFAxY,0,0,20,1995,10350,485,1513174,36,946640.4138126667
377,1392,0,0,eQq4-3crqGA,0,0,23,20398,241575,3151,7803839,7,3229153.955794524
533,4718,1,0,iAB4V6s1n3A,0,0,23,3010,42260,698,1562993,10,3045696.35617496
12044,10150,2,0,I4uq_RgYbvU,0,0,23,78095,251921,2334,6336575,4,3631548.953783322
11687,20643,1,0,j--tSPOVMRU,0,0,20,1984,14900,419,578354,28,1557492.5674477457
3470,23299,1,0,l_6PJwHADlc,0,0,43,592,3183,37,166412,29,1085486.3460584073
7423,3818,0,0,LHHIXpkpBNQ,0,0,20,21500,73932,895,4077836,18,2339302.5426890305
11691,1963,0,0,6f42pQPP5TU,0,0,20,46313,384918,4424,9966065,3,3621486.2047355752
1317,4700,2,0,AuxVWpAoVzQ,0,0,23,1211,21288,265,786269,4,3631548.953783322
9712,7249,2,0,KkDn3ksBEQU,0,0,23,1789,17965,355,462644,51,-385959.8539625183
8444,10012,0,0,D9rWogJO1J8,0,0,19,88,779,3,16306,4,3552812.829175352
7547,12749,2,0,uAzNoCEByII,1,0,20,3162,19249,518,1140485,34,1428070.8713530577
20488,21140,4,0,MjjbdpQ9U5E,0,0,20,3121,24961,313,1111471,23,2203824.519832494
21018,21309,1,0,TIUn7ZPEjJQ,0,0,20,2179,13993,101,350597,16,2583239.497084981
12079,7780,1,0,DDwQxCgKt3w,0,0,26,11277,57828,1017,3172239,16,2482406.2856277023
4461,7695,0,0,Aiq4LHq-5pw,0,0,10,318,2811,59,137966,3,3789541.5571643733
6043,9989,1,0,l60sRGl8LAw,0,0,19,224,495,2,23234,2,3796749.783571303
12199,5590,2,0,7XsaCuGFy9M,0,0,26,841,7531,223,1188162,3,3666611.2588577857
14692,14596,2,0,NQfGv2n0ZYg,0,0,24,1130,5992,361,840586,5,3529264.5077373395
8697,12457,0,0,W0PsPhr4v_c,1,0,20,2639,27693,425,834685,32,1453070.4273797744
12268,8316,2,0,AXnXXsxZVds,0,0,24,5921,97095,696,1851198,9,3187348.8645249275
11147,12024,1,0,ygLehI7kAQE,0,0,24,3481,73122,1232,2346427,35,891918.0508545055
5415,12094,3,0,KgOFsMe41-A,0,0,24,930,10972,397,231416,36,952397.4056308917
9223,7942,2,0,E9qqKaYz4bk,0,0,26,11227,67771,1707,7281642,9,3153737.794039168
4536,23861,1,0,3spIDBERmew,0,0,20,1074,4215,112,503564,17,2497760.586281878
11485,7334,2,0,6UnHkXfC7Ds,0,0,23,8781,111088,1191,1600934,2,3802506.775389528
19362,228,0,0,F8nU7FPOGK8,0,0,24,818,14496,1257,493645,3,3554264.063764056
10916,3403,2,0,6RSHZmO-gk8,0,0,20,34898,306693,3188,15604454,9,3254571.0054964465
18834,636,0,0,_y9qGngsyA4,0,0,24,25078,57308,1326,3802731,5,3383306.24215785
9346,16109,0,0,s-xwxeTK74g,0,0,22,1303,2171,99,209842,8,3160480.580234301
1297,16450,0,0,KZbXQ3EBLMU,0,0,22,1480,2831,91,216739,10,2989522.7586280946
11077,3771,1,0,b1ptt8HnUpc,0,0,20,12452,49963,1124,3114464,17,2497760.586281878
16059,19706,1,0,XfJ4nkMqwK8,0,0,20,2174,13098,266,408418,33,1130098.0134322308
7145,14543,0,2,bLQgLA1Cmks,0,0,28,14,226,15,102927,0,1156483.0606899215
5945,11339,2,0,HuCbaQb6jyQ,0,0,24,4552,85335,2332,4731789,29,1477770.6484628678
6797,15659,0,0,EMCJbHMescM,0,0,22,6716,20188,227,853837,12,2818564.937021889
8866,23506,0,0,7rcduWQTPfo,0,0,43,678,2878,47,259647,14,2294690.875315207
3506,10304,0,0,TH7NRA1muWE,0,0,23,8505,81628,1278,10982251,2,3656548.509810039
9457,22226,1,0,lQ-AkDoHD6E,0,0,20,736,6011,151,944026,10,3096112.961903599
8081,4534,3,0,1QUpdYmkScc,0,0,20,1035,9403,52,566701,11,3156592.3166799853
11914,17261,0,0,Nc3AVzkCz08,0,0,22,191,1814,768,4547203,2,3673354.0450529186
16452,4151,0,0,zgCuXn0cOXM,0,0,20,6425,46088,858,3215993,13,2766697.0967045454
8971,1253,0,0,vmt_kRyBbQM,0,0,23,12379,84844,599,1945856,11,2887238.312582112
22,6659,0,0,jBKLhwiaKIM,0,0,20,354,1321,46,169989,1,3792444.026341781
16960,21605,2,0,YoSV1dYLwmc,0,0,20,417,3804,39,144607,15,2741697.5406778287
4326,1582,0,0,6HlMJO7WPR0,0,0,20,27863,398666,11389,11457955,7,3279570.561523163
8612,1647,0,0,7RXqbehLfzI,0,0,20,28849,425333,11746,10476555,6,3365049.4723262666
5963,21709,1,0,rsADoMiGpec,0,0,20,453,2884,34,111109,13,2839676.2294942904
4986,23512,0,0,S0oKqZwSsbw,0,0,43,306,2272,41,215868,13,2380169.78611831
8896,10254,4,0,XsqW6byqotE,2,0,23,45073,270932,9751,38906618,4,4398452.491231182
2260,20907,2,0,L1KK4G2JEU8,0,0,20,795,15717,171,790023,15,2741697.5406778287
18244,22661,2,0,9L6p6t4dy_Q,0,1,20,463,3055,61,408638,10,2610340.0573650217
15072,19852,3,0,e_dhFM8zLNk,0,0,20,15570,74431,496,1480864,32,1361535.1898148232
498,23084,3,0,RFweMAXopKo,0,0,43,499,3701,74,375228,12,2684586.095290647
12414,14391,0,0,VMt7mAUSdBM,0,0,28,286,1566,82,197770,1,3657999.744398743
10394,2182,0,0,Bpyb6RslpnI,0,0,20,71,251857,2439,7413553,8,3194091.6507200603
1362,6175,0,0,Ga5cPrcHbHw,1,0,20,3044,45743,728,2261216,4,3846479.9298666576
17306,5655,2,0,TYq0A8zsrCk,0,0,28,2540,12609,517,2247241,2,3718479.099175129
16456,11902,2,0,XSplCxF1fTM,0,0,24,1513,36782,446,1133460,8,3272827.7753280303
12474,798,0,0,noeGMUOjePQ,0,0,24,6513,38629,2083,2963109,5,3383306.24215785
21739,20999,1,0,ICY4n-SdVys,0,0,20,1292,24749,265,924357,17,2497760.586281878
4598,13544,0,0,QeFjg8t_9Lk,0,0,20,4144,35203,1433,1131758,8,3194091.6507200603
485,2144,0,0,jaJBHWi4ZCE,0,0,20,3532,98497,2218,2381755,6,3365049.4723262666
13665,2806,1,0,d6IR8v61ZGk,0,0,20,14870,157195,1730,5472803,20,2241323.8538725693
13672,1396,5,0,FCichOcSqz0,0,0,23,12142,135998,4408,8452099,3,3935965.262955659
10880,19863,3,0,RhiOxTfhFDc,0,0,20,15143,36306,447,734587,30,1532493.011421029
6756,1175,0,0,3glksPzx6pY,0,0,24,725,7346,177,608564,1,3725221.885370262
17109,20993,1,0,39UaKqyWq4I,0,0,20,1221,16962,238,627741,15,2668718.407888084
15747,12918,0,0,_IX-5Gaokus,0,0,20,7090,34726,614,546647,32,1142597.7914455892
15676,23076,3,0,AMp7OrqY-Ro,0,0,43,469,3592,53,300811,11,2770065.00609375
10179,3003,1,0,pJmmlH9ghgY,1,0,20,23024,140923,2529,6468798,8,3577543.41944399
8088,19707,1,0,oewuX7YwtFY,0,0,20,3280,17435,463,480581,26,1728450.3890539515
14360,24090,0,0,kjQUZb_2jKE,0,2,20,663,6769,41,248890,14,1563714.1112447982
6446,21810,0,0,21fOstOrTLo,0,0,20,676,6633,60,235277,17,2424781.453492134
5618,12298,0,0,L_NzmaXj3gU,2,0,20,4976,72490,1720,3397705,10,3644079.1009822246
12926,14281,0,0,EukG92Evw3Q,0,0,28,1656,9139,260,895760,1,3657999.744398743
10479,21308,1,0,O-7xNZjHMaA,0,0,20,2171,15159,142,353416,17,2497760.586281878
21922,1711,0,0,sHOJHzhCfqk,0,0,20,19371,153407,3033,3885968,23,1911907.9886735156
16761,5729,0,0,XR1BVetyGbA,0,0,23,389,2526,64,275163,2,3656548.509810039
16768,21559,1,0,o0anTfglGZs,0,0,20,4882,23106,209,673548,16,2583239.497084981
6231,8147,2,0,M6V6DKx1p2U,0,0,24,3260,46546,409,640430,5,3529264.5077373395
1013,814,0,0,X8YCWUC1gYY,0,0,24,5149,18706,613,590353,3,3554264.063764056
19433,15702,0,0,gsIyR-XNaXg,0,0,22,5755,10960,211,912747,23,1878296.918187756
18502,16765,0,0,fWfcKQ6kx2E,0,0,22,1313,622,22,64364,9,3075001.6694311975
8847,12553,1,0,VSHcImVqBtE,1,0,20,5742,43389,1530,3746576,40,842218.2737446954
4319,14891,4,0,Agp3-6lsOQY,0,0,24,557,3174,435,1379838,7,3504264.9517106228
7256,23233,0,0,Yhfj1rnk7O4,0,2,43,1096,7616,92,588889,15,1091707.8898554598
6106,7178,0,0,RCW8iFcbngA,0,0,26,1184,5190,212,1360557,8,3093258.4392627813
1474,3381,2,0,yrhZcucdLH4,0,0,22,34510,150908,989,2665988,6,3477396.667419996
14466,1261,2,0,m7Lb8cVuwtw,0,0,23,5830,81134,510,2035897,8,3289633.3105709106
15750,21754,1,0,mWpzB-1ql1Y,0,0,20,637,6935,78,426039,10,3096112.961903599
12215,21629,1,0,stVSlaIXduI,0,0,20,582,4366,39,121676,10,3096112.961903599
5630,17325,0,0,CuuYBK3B-0Q,0,0,22,413,6205,2274,13951722,3,3587875.1342498157
7655,11814,1,0,CVWqV4Mcldg,1,0,24,1835,36180,714,636491,35,1202390.6867886903
4542,20621,5,0,liK-z2P5HFg,0,0,20,820,6968,78,365929,18,2704198.206637754
2670,8853,0,0,LRgq0KFCMOw,0,0,22,2570,30574,241,522704,11,2904043.8478249917
11389,15395,1,0,EXcA4MjoJDw,0,0,22,6660,28852,390,957957,20,2207712.7833868098
12908,23137,0,0,EmBhDl-TcXI,0,0,43,70,730,9,60644,12,2465648.696921413
19494,13942,0,0,OpJ35b7_Hek,0,0,28,909,17500,362,1038673,3,3487041.922792537
612,9691,0,0,a5JLaoq_D7o,0,0,19,1619,7605,57,204316,3,3638291.739978455
6202,7643,0,0,edWR-G_mnzQ,0,0,24,1324,6374,211,446789,3,3554264.063764056
