,Unnamed: 0,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration
11700,12332,0,0,2V_IIyEDyxk,0,0,20,16462,136982,2913,4693417,2
47,22384,0,0,-ePnP30QYqE,0,0,20,1620,10142,182,812911,19
7787,14090,0,0,snb5IVbhCjQ,0,0,28,1191,22041,1301,2691968,9
19253,5389,0,0,aHjpOzsQ9YI,0,0,10,203690,1783102,29340,159394594,5
13742,23145,0,0,i9gyIbkL3U4,0,0,43,96,989,16,96948,21
14652,22189,2,0,Le5G-nXmsyM,0,0,20,405,3219,27,210666,12
21839,2470,0,0,2kKcymhoqmo,0,0,20,1,152292,3257,3850660,6
1084,21594,1,0,IxMZNhDHej4,0,0,20,3290,47764,402,1601424,13
7033,15155,2,0,3nRZhGP5apQ,0,0,17,56308,221120,6198,39238049,6
3540,22553,1,0,j3NPhmUlNe4,0,0,20,322,2808,23,58305,19
10107,13442,1,0,hATklQotlbI,0,0,20,2103,18849,953,1839091,20
13084,19964,6,0,Zj97DP7rDVE,0,0,20,1894,18742,201,713879,29
6065,7665,0,0,X9j3c0XIp_w,0,0,22,236,3769,37,154212,8
15161,14635,0,0,LgMYj7ji1cs,0,0,24,4842,18936,1960,6141000,6
4989,7903,1,0,v7yXisKl7tM,0,0,26,7490,31228,373,1539483,5
448,6834,1,0,q0WCCyBWGVM,0,0,26,2466,75073,919,1701309,5
21611,16245,0,0,zsXWu80L_14,0,0,22,3658,2359,64,253574,13
993,23650,0,2,lhAgaRzAEGg,0,0,20,60,676,5,31976,9
12554,22394,1,0,nsIYBRqisJ4,0,0,20,946,5496,69,320873,14
19771,5501,1,0,gCRAVAPYl_k,0,0,15,666,5226,100,393211,1
12664,7168,1,0,y0Kcb9aNVfo,0,0,26,1649,5198,261,1043087,9
4274,22796,2,0,FhEexy3mQfo,0,0,43,139,1022,20,68691,10
15952,23406,1,0,YIh9N1WEhH4,0,0,43,252,2363,27,135260,13
7663,7310,1,0,UbyubMGgeUc,0,0,23,13339,149450,1186,3135226,5
18785,16581,1,0,xjU1AfKPgvo,0,0,22,1714,4367,157,444116,9
20654,2984,2,0,knZD-mhUZ2s,0,0,20,9645,276029,5721,4502209,7
18516,12447,0,0,5h56L8P6cwc,1,0,20,5471,52944,726,1479096,52
21652,3587,2,0,u44TI73cVN0,0,0,20,12587,53866,905,2823449,21
3955,7821,1,0,bKA06kWvo80,0,0,26,7385,37978,614,1592728,7
2151,5314,0,0,8AXHb_xk3EI,0,0,23,2537,14536,880,2361091,1
6724,16851,2,0,1rXLmxsv8h0,0,0,22,351,526,14,61973,2
13371,13213,1,0,QcJnRS1R2V4,1,0,20,6495,28176,1227,2327133,42
4054,15954,0,0,c9ut1pmk0IM,0,0,22,4036,26400,2085,7661855,9
17746,10045,2,0,BKWt-j5YyzY,0,0,24,113962,1127890,28511,37294202,4
14791,19656,4,0,S2DkTGLU9LQ,0,2,20,601,6438,56,210743,29
17348,11685,3,0,66BTmL6KbkM,0,0,24,987,14618,692,283983,26
16544,9802,0,0,RZZDCAnbnds,0,0,24,483,1706,23,63986,5
13122,6517,0,0,wA25gKXzXUo,0,0,20,2470,11139,215,935450,2
18121,9296,1,0,bzgwU0D_4qM,0,0,24,1998,25335,573,375820,7
3632,2027,0,0,6HH-eD8bPdI,0,0,20,18051,208672,5091,8172228,5
9917,6855,4,0,KZ2ZB_SLryo,0,0,26,2437,39019,2075,1407572,5
9227,348,1,0,L2skkR9V2Gk,0,0,24,15825,225907,5410,13585634,9
14319,12894,0,0,kC7iLSAfD-0,1,0,20,7032,66270,1247,4221371,16
17871,2637,0,0,gMyut514Jd0,0,0,20,22,169838,1660,5516832,6
14048,23722,0,0,MnP4B5fR0N0,0,2,20,150,1236,15,79530,14
1373,4959,4,0,xSvCONMiIj8,2,0,24,2820,98646,1607,4503509,5
6989,13650,0,0,QPFqJVx15zA,0,0,20,37,423,7,21522,6
12634,1107,0,0,w8a586ijjBQ,0,0,24,8750,21222,819,3341828,4
10321,9279,3,0,BwXrVM1atlI,0,0,24,10657,117258,520,1209296,16
2492,20252,4,0,bgccMRST36k,0,0,20,1013,11676,162,463359,18
17624,7847,2,0,1MFQZwuGu6A,0,0,26,6722,29201,312,1184546,5
4106,9628,0,0,6XB7sQNrIzM,0,0,24,14024,44127,1316,2621637,16
20863,20741,2,0,FcnLIP0kO2I,0,0,20,720,7693,111,274533,28
13319,14576,0,0,olkNNjvFMeg,0,0,28,117,1388,25,166253,1
11327,4894,0,0,7nNGYMRCDOQ,1,0,24,24153,216235,13441,16081873,8
10794,10840,1,0,q0GDumetl40,0,0,24,4823,57512,1758,1348044,19
13488,4161,0,0,AnyFCLkLWpU,0,0,20,4479,32468,364,1471264,13
2320,14566,0,0,k8BEgxzrfEI,0,0,28,293,567,46,125646,1
2207,10824,1,0,OxpV6CCeA0M,1,0,24,13108,88010,2723,2799423,23
2311,23511,0,0,AjOiGJmqRsk,0,0,43,228,2220,26,183109,7
19935,1639,0,0,wJwDiX0ASYw,0,0,20,11302,104338,1355,2305542,23
5277,3596,3,0,bleWDHyzoVs,0,0,20,12830,49864,1869,3024471,13
7422,5291,1,0,EZjfZLTbnvY,0,0,43,11750,58139,3059,8650093,3
20207,3234,2,0,CxerH3TpsgY,0,0,24,77403,340746,4756,6497683,5
3040,11054,1,0,g_qqzdpV0OU,1,0,24,5427,59790,677,1203759,19
1989,4392,0,0,N1EQjIVfhug,1,0,20,1036,6668,67,371359,9
19867,8197,2,0,a6KzRMLyA0s,0,0,24,8453,243444,1146,3402405,7
2623,21846,4,0,pWZY7PwMaW0,0,0,20,1597,12597,235,893891,13
5433,1320,2,0,P9jMKiyetJo,0,0,23,3480,87569,581,2850326,7
15979,22433,3,0,Jki78lrF-GQ,0,0,20,1111,3354,37,126647,17
6963,15040,1,0,1EgpP_ndHY4,0,0,24,346,674,62,217752,2
2601,7090,4,0,rDgd4gR9ZfM,0,0,26,4315,21575,1329,1943900,3
12584,22797,0,0,36kgRYM8C3Y,0,0,43,805,4277,34,150618,24
9779,13941,0,0,bm_D0ieb8Jk,0,0,28,1916,26671,627,904666,2
6756,1175,0,0,3glksPzx6pY,0,0,24,725,7346,177,608564,1
5429,11520,1,0,kn_pv02npO0,1,0,24,3447,61994,1319,1489200,23
16572,4504,0,0,dga92AKirZo,0,0,20,181,1586,18,73598,1
16449,9546,1,0,Tnnc0YzumAA,0,0,24,3514,11650,591,362260,7
4419,22268,2,0,2_bx1q1U9_Q,0,0,20,843,4953,81,367823,19
14164,9383,1,0,zJMWTKZBSgQ,0,0,24,3182,17282,220,297069,8
5958,23026,1,0,CZJtCOZgk4s,0,2,43,651,3440,35,123012,11
17237,9698,0,0,T8zZLBx3-c4,0,0,24,867,3427,32,161329,6
13232,22917,1,0,A4xTlaTrLfU,0,0,43,733,4736,91,283456,10
