,Unnamed: 0,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration,predicted_value
14248,10976,2,0,IvE1rtkFA9U,1,0,24,8709,61352,713,934420,31,1318776.0
20098,4356,0,0,ENjss9ujOUA,0,0,20,1529,10942,71,434921,10,3095351.0
4962,643,1,0,BLylb4TfnlM,0,0,24,6788,71047,978,4192867,9,3124449.0
20299,1523,0,0,y-Jf1RtRqKc,0,0,23,2656,10369,543,1808272,6,3383922.0
21534,9103,1,0,JmyXPJ_kSWs,0,0,24,2398,29147,1583,2169475,8,3206525.0
17077,20863,3,0,9q6CWCqTDnU,1,0,20,1876,17317,227,1180046,14,2767047.0
5782,22751,1,0,Ug9dRJ1aO08,0,0,20,357,2857,82,249889,13,2849123.0
13744,1459,1,0,adQTmfXr_OQ,0,0,1,16070,97125,2055,5129286,2,4003607.0
9790,20266,3,0,FiRbHPhqirw,0,0,20,1085,19911,110,614210,14,2767047.0
8646,4548,0,0,lUtoLyyeOwQ,0,0,20,12221,44854,530,1833165,3,3669884.0
9041,10221,1,0,QWK0xfcvSBc,0,0,23,8082,189489,3209,9645513,3,3630150.0
1115,15048,0,0,oYQpcQ8QByc,0,0,24,314,3280,373,1622894,5,3452753.0
7405,22622,0,0,kr8QN5izAzw,0,0,43,577,6011,39,148296,14,2462421.0
6227,1532,0,0,BmVC7G7ZxHY,0,0,22,1490,5879,212,942439,3,3643394.0
20890,13908,0,0,MCfqyhcNCdQ,0,0,28,1140,19908,620,895332,2,3646003.0
3743,10832,1,0,a9vNQApA0ac,0,0,24,3637,50551,776,714856,30,1400852.0
13038,16956,0,0,NIq7mqGtX5w,0,0,24,427,2091,98,360034,7,3288601.0
1975,10548,1,0,a4XPHcRnUUk,0,0,20,2961,44908,742,815652,16,2602895.0
12554,22394,1,0,nsIYBRqisJ4,0,0,20,946,5496,69,320873,14,2767047.0
2463,20238,4,0,ZWKdb-UbXd8,0,0,20,461,5680,119,258281,19,2356667.0
20536,11032,1,0,cEwhv8MCZWo,0,0,24,2858,45647,898,1176149,18,2385764.0
12133,9771,1,0,2L_3B9pPqNE,0,0,24,1615,1697,18,69568,10,3042373.0
669,17173,0,0,nX1oXZjiR4I,0,0,22,171,2060,331,1643038,4,3561318.0
4621,11321,1,0,JIClFb1qQa8,0,0,24,3859,66769,1837,1838579,22,2057460.0
10136,13554,0,0,RgXT9KsqHEI,0,0,20,136,1103,20,57556,14,2767047.0
4854,8302,2,0,9l-xHazwYcw,0,0,24,5800,91133,385,1006880,7,3288601.0
310,22545,3,0,RoDxOtPWBSQ,0,0,20,504,4509,36,198488,13,2849123.0
18880,13808,0,0,lIXIcYgoNKQ,0,0,28,1323,13667,716,534388,1,3728079.0
12044,10150,2,0,I4uq_RgYbvU,0,0,23,78095,251921,2334,6336575,4,3548074.0
4856,16180,1,0,tn25JPNk-M4,0,0,22,1532,5414,363,1570773,13,2822634.0
1597,23423,0,0,f9CDzdE4uHI,0,0,20,147,826,18,64294,11,3013275.0
2400,14035,0,0,Gnx91PuGv8E,0,0,28,1005,15985,806,787721,1,3728079.0
17864,6743,2,0,D-QVFJQt9UQ,0,0,20,256,2379,57,115620,3,3669884.0
17527,22391,1,0,4xFdWZOo-jQ,0,0,20,893,6409,67,344744,12,2931199.0
16457,7804,0,0,A3vh89o7f6M,0,0,26,12805,56055,724,3446797,10,3015884.0
13647,2786,1,0,oVjAqIf3GN0,0,0,22,28686,395584,3921,9750085,5,3479242.0
20959,13504,1,0,G2reEBj8F0s,0,0,20,1606,9761,228,835707,35,1043450.0
12070,6670,0,0,F8v9utjAF50,0,0,23,661,5262,118,639735,0,3876378.0
17444,19837,3,0,UyOM1E3e38w,0,0,20,1609,10581,136,379215,8,3259503.0
2694,9280,1,0,qDylVA4QpkE,0,0,24,1616,14526,155,227783,7,3288601.0
15815,12907,2,0,HJGq26Kp-Sg,1,0,20,2525,10912,135,230857,30,1453830.0
10050,2976,1,0,8A5y1bDNi04,0,0,20,5009,91228,1176,3137245,25,1864211.0
4573,17140,0,0,olvq-yubK9w,0,0,22,177,1530,370,1383961,3,3643394.0
21726,769,1,0,VOorSoton_E,1,0,24,1944,17086,760,944704,5,3452753.0
14640,19661,4,0,j2YeiAGOqwM,0,2,20,829,9587,84,309159,26,1782134.0
334,17188,0,0,XZrxSg-S8wE,0,0,22,140,2868,775,4955600,3,3643394.0
19258,24187,0,0,loPk3IJNuTQ,0,0,20,116,1185,12,78291,11,3013275.0
1666,20102,3,0,XXNOuBuYYFE,0,0,20,3358,16501,660,959669,1,3834036.0
11317,14539,0,0,cgJqMgmhhFc,0,0,27,1401,5752,242,1068550,4,3495095.0
18489,6808,1,0,Sr0wZi5b2Zs,0,0,26,2507,44590,1266,1531144,7,3262112.0
6133,11260,1,0,770P41yBWxU,0,0,24,5302,93589,1196,1078227,37,826319.0
5888,5463,1,0,TCepmG00VHk,0,0,23,4473,8746,1031,578769,6,3383922.0
16354,9517,1,0,uwnQYgeN0Zk,1,0,24,1870,11343,96,219358,8,3206525.0
15349,6184,0,0,QUOrZ4RdWeg,0,0,20,2207,45330,1692,3181483,5,3505731.0
12319,15980,0,0,57HDN_9JoMY,0,0,22,1691,3039,81,250663,14,2740558.0
3380,11786,1,0,YTG7DrWKfaQ,0,0,24,7298,56782,1094,2130448,39,662167.0
7083,6815,7,0,SN5qVrkTEA8,0,0,26,3563,53875,2774,987144,2,3672492.0
5307,2757,1,0,G7kaXPB7vko,0,0,20,6200,114798,1582,3652669,10,3095351.0
5345,22998,1,0,M5jeJgf9sqQ,0,0,43,350,4425,75,236121,9,2872801.0
9973,17386,0,0,B-0eB6R_Z5k,0,0,22,199,1742,387,1956206,4,3561318.0
137,15049,1,0,n_jNe5j_7Wo,0,0,24,1100,17596,2565,10800089,4,3534829.0
15834,11429,1,0,abDXEbV4FIc,1,0,24,1310,30643,1405,567911,38,744243.0
8656,66,2,0,xilrvBZoSOU,0,2,23,8543,108327,1181,8802728,3,3630150.0
1436,1088,0,0,wSdX9-_3vEA,0,0,24,15279,28582,1026,2453505,4,3534829.0
