,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration
0,2,0,vOFa0YHSwx4,0,0,24,22333,372518,12801,11464279,5
1,2,0,ZkxMqUP70Ds,0,0,24,7791,189111,6907,4788637,2
2,1,0,2dmqsY3_1uk,0,0,24,23132,249283,14658,5664091,2
3,2,0,NADRu9MaHOo,0,0,24,26104,442057,10799,10551030,3
4,1,0,92agCKHpMqw,0,0,24,60261,843392,42838,37060860,3
5,1,0,WXPSGp-jLC0,0,0,24,15677,386556,13544,18850069,2
6,1,0,dFOksqPE_Bg,0,0,24,17999,387395,6893,18611498,4
7,1,0,elaoOCwoqPs,0,0,24,19044,520917,9422,16214322,3
8,1,0,_zmxpXejMNs,0,0,24,8477,300240,6618,12158802,3
9,2,0,OZScqcKFK_E,0,0,24,18849,419857,25201,18096017,3
10,1,0,7t0EtKlQxyo,0,0,24,41371,939633,19693,80274774,3
11,1,0,PJrXW9yeJy0,0,0,24,7710,225573,5650,18589011,15
12,1,0,z7HxiMWVL4g,0,0,24,29653,528864,27064,48893105,2
13,1,0,WL06z1MPtGA,0,0,24,4966,122589,2357,6468313,3
14,1,0,dBfVwjRuwxk,0,0,24,11372,274936,3665,10412938,4
15,1,0,SqlnGeSOUuo,0,0,24,17076,251684,7426,9637846,2
16,1,0,nscaesfyGws,0,0,24,11718,256744,15348,48334562,2
17,3,0,pJO-FQRgITE,0,0,24,7006,145351,14102,6463915,2
18,1,0,ik19t5dYcdI,0,0,24,2208,96795,4043,3891923,2
19,2,0,u53Ktg1iSFU,0,0,24,3843,136109,2255,6926088,2
20,1,0,iICRglgHjaE,0,0,24,7390,245715,3574,13281873,4
21,1,0,JK4hZ182qb8,0,0,24,5136,223421,2750,13425025,2
22,1,0,c44bhvx6vuw,0,0,24,19798,557110,12054,28355666,2
23,1,0,hgExTrqH0n8,0,0,24,30430,271832,10890,24247543,3
24,1,0,QtAy_2OuqDE,0,0,24,3107,131420,2252,6117916,2
25,1,0,jCSE75_zHlU,0,0,24,57794,372747,32112,39554264,2
26,1,0,KZ0WWL1atmE,0,0,24,9545,181851,3840,14453151,2
27,1,0,_EOeNw3yHjg,0,0,24,2214,77633,3123,3802309,1
28,1,0,Wq7zR-mN4GQ,0,0,24,9100,227856,6166,14115676,4
29,1,0,BJvhdyGjZQ4,0,0,24,6867,145313,4414,5714934,2
30,2,0,BK8pPVHXOJY,0,0,24,4269,69978,3523,4107563,4
31,1,0,wzkKorkUKt8,0,0,24,5132,104175,2425,7358140,2
32,1,0,tqX7POfzqqg,0,0,24,2925,95848,2357,9065188,2
33,1,0,rAPNDjQ3Q28,0,0,24,27921,231086,25924,14371443,1
34,1,0,HlpmKxAkYNU,0,0,24,3764,90786,1880,6724367,2
35,3,0,pi-DQE-Pfa4,0,0,24,4622,96931,1517,7367915,2
36,1,0,xhAcq9yB1fQ,0,0,24,9338,108668,1090,5593091,2
37,1,0,VaKtjIVSkT8,0,0,24,4983,131465,2162,12741508,2
38,1,0,0HDsz3C9IHg,0,0,24,10137,184770,2760,9734545,2
39,1,0,90twWY4PWhQ,0,0,24,37924,438994,29576,67128265,3
40,1,0,bXBi7kVn6to,0,0,24,2370,85425,1423,5877265,2
41,0,0,_VrzqHqwp5E,0,0,24,8689,121035,11863,9469930,1
42,0,0,R7AXBOT8KzU,0,0,24,63958,880843,33041,84291812,2
43,0,0,OA47qryTFLM,0,0,24,4519,152867,2777,9359480,1
44,0,0,vcldzojgAR0,0,0,24,15713,223836,4901,11646153,2
45,2,0,7vnezuYY-W0,0,0,24,18762,203786,1939,7511350,3
46,1,0,pwt7wAyz2w8,0,2,24,5114,118370,2174,8117087,3
47,0,0,FyUrrAqso-M,0,0,24,7361,128099,3051,11482369,3
